"PoiName";"ZoneCode";"PoiDescription";"PoiTypeId";"UsageTypeId";"PropertyTypeId";"PrimaryBrandId";"PrimaryBrandKeyId";"OperatorMasterId";"PoiStatusId";"Latitude";"Longitude"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1848900";"5.7152400"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1848000";"5.7162100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1853200";"5.7161500"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1855900";"5.7156100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1856100";"5.7136000"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1859400";"5.7154400"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1848700";"5.7119800"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1872200";"5.7159300"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1871300";"5.7163600"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1877200";"5.7134800"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1879200";"5.7159200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1820100";"5.7081900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1854700";"5.7174200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1864300";"5.7174500"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1868700";"5.7176700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1873100";"5.7179100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1833200";"5;7172600"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1829300";"5.7176800"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1824500";"5.7177600"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1825900";"5.7181700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1826800";"5.7184500"
